ticker,fiscal_year,status
AAT,2020,OK
AAT,2021,OK
AAT,2022,OK
AAT,2023,OK
AAT,2024,OK
ABS,2020,OK
ABS,2021,OK
ABS,2022,OK
ABS,2023,OK
ABS,2024,OK
ADP,2020,OK
ADP,2021,OK
ADP,2022,OK
ADP,2023,OK
ADP,2024,OK
ADS,2020,OK
ADS,2021,OK
ADS,2022,OK
ADS,2023,OK
ADS,2024,OK
BAX,2020,OK
BAX,2021,OK
BAX,2022,OK
BAX,2023,OK
BAX,2024,OK
BCF,2020,OK
BCF,2021,OK
BCF,2022,OK
BCF,2023,OK
BCF,2024,OK
BMC,2020,OK
BMC,2021,OK
BMC,2022,OK
BMC,2023,OK
BMC,2024,OK
BRC,2020,OK
BRC,2021,OK
BRC,2022,OK
BRC,2023,OK
BRC,2024,OK
DHP,2020,OK
DHP,2021,OK
DHP,2022,OK
DHP,2023,OK
DHP,2024,OK
DQC,2020,OK
DQC,2021,OK
DQC,2022,OK
DQC,2023,OK
DQC,2024,OK
DTT,2020,OK
DTT,2021,OK
DTT,2022,OK
DTT,2023,OK
DTT,2024,OK
GMX,2020,OK
GMX,2021,OK
GMX,2022,OK
GMX,2023,OK
GMX,2024,OK
GTA,2020,OK
GTA,2021,OK
GTA,2022,OK
GTA,2023,OK
GTA,2024,OK
HCD,2020,OK
HCD,2021,OK
HCD,2022,OK
HCD,2023,OK
HCD,2024,OK
HVT,2020,OK
HVT,2021,OK
HVT,2022,OK
HVT,2023,OK
HVT,2024,OK
LAF,2020,OK
LAF,2021,OK
LAF,2022,OK
LAF,2023,OK
LAF,2024,OK
LDP,2020,OK
LDP,2021,OK
LDP,2022,OK
LDP,2023,OK
LDP,2024,OK
MEL,2020,OK
MEL,2021,OK
MEL,2022,OK
MEL,2023,OK
MEL,2024,OK
PLP,2020,OK
PLP,2021,OK
PLP,2022,OK
PLP,2023,OK
PLP,2024,OK
TCR,2020,OK
TCR,2021,OK
TCR,2022,OK
TCR,2023,OK
TCR,2024,OK
